mealID,name,description,categoryName,allergens,preferences,nutritionals,servingSize,servingSizeUOM,calories,fat,caloriesFromFat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,dietaryFiber,sugars,addedSugar,protein
15833,Fried Egg,Fried whole shell eggs.,Breakfast,Egg,Vegetarian,"{'id': 231364, 'servingSize': '1.50', 'servingSizeUOM': 'oz', 'calories': '71', 'fat': '5', 'caloriesFromFat': '71', 'saturatedFat': '1', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '159', 'sodium': '61', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '5', 'corporateProductId': 4453}",1.5,oz,71.0,5.0,71.0,1.0,0.0,159.0,61.0,0.0,0.0,0.0,0.0,5.0

18724,Grilled Plantains with Spicy Black Beans,"Grilled plantains served with spicy black beans, yogurt, pico de gallo and fresh cilantro.",Roots,Dairy,"Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 222164, 'servingSize': '11.88', 'servingSizeUOM': 'oz', 'calories': '288', 'fat': '2', 'caloriesFromFat': '288', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '2', 'sodium': '386', 'carbohydrates': '66', 'dietaryFiber': '7', 'sugars': '28', 'addedSugar': '1', 'protein': '9', 'corporateProductId': 5623}",11.88,oz,288.0,2.0,288.0,0.0,0.0,2.0,386.0,66.0,7.0,28.0,1.0,9.0

3592,Spicy Black Beans,Spicy black beans seasoned with corriander and cumin.,Roots,,"Vegan,Gluten Sensitive,Vegetarian","{'id': 228962, 'servingSize': '4.60', 'servingSizeUOM': 'oz', 'calories': '120', 'fat': '2', 'caloriesFromFat': '120', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '0', 'sodium': '688', 'carbohydrates': '19', 'dietaryFiber': '4', 'sugars': '2', 'addedSugar': '0', 'protein': '6', 'corporateProductId': 4914}",4.6,oz,120.0,2.0,120.0,0.0,0.0,0.0,688.0,19.0,4.0,2.0,0.0,6.0

26843,MTO Fruit and Yogurt Bar,,MTO Bars,Dairy,,"{'id': 209026, 'servingSize': '9.80', 'servingSizeUOM': 'oz', 'calories': '227', 'fat': '4', 'caloriesFromFat': '227', 'saturatedFat': '0', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '4', 'sodium': '48', 'carbohydrates': '39', 'dietaryFiber': '3', 'sugars': '31', 'addedSugar': '3', 'protein': '12', 'corporateProductId': 8235}",9.8,oz,227.0,4.0,227.0,0.0,0.0,4.0,48.0,39.0,3.0,31.0,3.0,12.0

15840,Hard Boiled Eggs,Boiled whole eggs.,Breakfast,Egg,"Gluten Sensitive,Vegetarian,NutriGOOD","{'id': 231265, 'servingSize': '1.50', 'servingSizeUOM': 'oz', 'calories': '61', 'fat': '4', 'caloriesFromFat': '61', 'saturatedFat': '1', 'caloriesFromSatFat': None, 'transFat': '0', 'cholesterol': '158', 'sodium': '60', 'carbohydrates': '0', 'dietaryFiber': '0', 'sugars': '0', 'addedSugar': '0', 'protein': '5', 'corporateProductId': 4460}",1.5,oz,61.0,4.0,61.0,1.0,0.0,158.0,60.0,0.0,0.0,0.0,0.0,5.0

